id,name,tagline,description,votes,website,launch_date,url,topics,makers
1111197,Kilo Code v7 for VS Code,"Parallel agents, diff reviewer, and multi-model comparisons","We've completely rebuilt Kilo Code for VS Code, built on OpenCode server. New portable core, parallel tool calls, subagent delegation, inline code review, multi-model comparisons. Get started: kilo.ai/install",892,https://www.producthunt.com/r/SNLH5TXRYOCJUJ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-05T07:01:00Z,https://www.producthunt.com/products/kilocode/launches/kilo-code-v7-for-vs-code?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Open Source, Software Engineering, Developer Tools, GitHub","[REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED]"
1144771,StoreClaw,Grow your store profits with agents that know how to sell,"StoreClaw is the first AI commerce platform with agents that know how to sell, so you can make more money with less effort and less stress. Connect StoreClaw to your existing store and it will study your numbers, current sales figures, and growth trajectory, and then offer proactive suggestions that it can execute on your behalf — once you give it your approval. Ask StoreClaw how your business is doing any time, anywhere. Sell more with less stress: StoreClaw.",848,https://www.producthunt.com/r/PVXOOJINEBKKUA?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-20T07:01:00Z,https://www.producthunt.com/products/storeclaw?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Artificial Intelligence, E-Commerce, Marketing automation","[REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED]"
1135604,PollyReach,Give your agent a real number and voice to make calls.,"Most AI phone tools are built for enterprises — APIs, workflows, sales automation. PollyReach is built for you. Give your AI a real phone number. Say ""book me a table for 7pm"" — it finds the number, makes the call, handles the conversation, and reports back with a summary, recording & transcript. It also answers your phone 24/7 and screens spam. Works in 50+ languages.",835,https://www.producthunt.com/r/YNJ3R3XJ5FEEBJ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-19T07:01:00Z,https://www.producthunt.com/products/pollyreach?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Productivity, Artificial Intelligence, Virtual Assistants","[REDACTED], [REDACTED], [REDACTED], [REDACTED]"
1149886,Brew ,Like Claude design for email marketing,"Brew is the fastest way to design and send beautiful, on-brand emails and automations that render perfectly in every inbox. Describe a campaign or a multi-step automation in plain English, and Brew builds the whole thing in seconds: copy, design, audience, and logic. Works with any AI agent: paste our docs into OpenClaw, Viktor, Claude, or Lovable. No lock-in: send from Brew or export to your ESP. Free to get started.",802,https://www.producthunt.com/r/3Q7DPTEXUJAFUG?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-26T07:01:00Z,https://www.producthunt.com/products/brew-5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Design Tools, Email Marketing, Artificial Intelligence","[REDACTED], [REDACTED], [REDACTED], [REDACTED]"
1140898,Unabyss,MCP-native self-updating context layer for your AI,"Set it up once and never re-explain yourself to AI again. Connect the apps you use daily - Unabyss will extract, structure, and update your context automatically. Share it with any AI tool via MCP, with granular control over what each tool can see.",731,https://www.producthunt.com/r/3EY2VAEXSWTXAR?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-25T07:01:00Z,https://www.producthunt.com/products/unabyss?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Productivity, Artificial Intelligence","[REDACTED], [REDACTED], [REDACTED], [REDACTED]"
1128324,RankSpot,AI SEO Blog driven by deep competitor intelligence,"RankSpot is your fully automated AI agent that researches, writes, and publishes SEO articles to your blog daily - getting you cited in AI answers and ranked on Google.",668,https://www.producthunt.com/r/6OTRNXDGVGQLGN?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-08T07:01:00Z,https://www.producthunt.com/products/rankspot/launches/rankspot?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Marketing, SEO, YC Application","[REDACTED], [REDACTED]"
1136902,OpenHuman,An open source AI harness built with the human in mind,"90% of people who try AI agents give up. Three reasons: memory that resets every session, your data sitting in someone else's cloud and a terminal just to get started. Real blockers. OpenHuman fixes all of it. Local-first, privacy-first. It remembers everything about you and actually gets smarter the more you use it. Every feature lives in one simple interface. Fully open source. One-click setup. P.S. The product is in beta, so expect bugs, but we're building and shipping fast.",661,https://www.producthunt.com/r/RWEBXA76IIY2MF?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-15T07:01:00Z,https://www.producthunt.com/products/openhuman/launches/openhuman?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Productivity, Open Source, Artificial Intelligence, GitHub","[REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED]"
1138905,Velo 2.0,Instantly turn your voice and screen into shareable videos,"Velo 2.0 is a whole new way to make video messages. It turns raw screen recordings into polished videos and docs, with a chat-native editor, real-time processing, voice cloning, and smart script rewriting. Edit by chatting, not timelines. Record once and get both a video and a doc. Write a script even when there is no audio. Change tone anytime. Everything updates live, so the whole experience feels faster, easier, and more natural.",639,https://www.producthunt.com/r/GOBREWJTJKPLRQ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-05T07:01:00Z,https://www.producthunt.com/products/velo-4/launches/velo-2-0?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Productivity, Sales, Video","[REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED]"
1152782,own.page,Make your own personal website with bento tiles,"own.page helps creators and founders build a beautiful link-in-bio that feels alive - more like a personal website than just a list of links. Build a page in under a minute, customize it your way, add powerful widgets and integrations, understand your visitors, and grow your audience from one place.",624,https://www.producthunt.com/r/MG5MNTMYZSEPJI?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-25T07:01:00Z,https://www.producthunt.com/products/own-page?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Social Network, Social Media, Website Builder",[REDACTED]
1058199,Spellar 3.0,AI Meeting companion with cross-meeting memory,"Most meeting tools give you notes. Spellar AI gives you memory. It joins your calls, captures every word, and builds context across all your meetings. Ask what a client said three calls ago. Find decisions from last week. See what’s still open. Organize by client, use templates, and choose the AI you trust — OpenAI, Anthropic, Perplexity, Gemini and more!",586,https://www.producthunt.com/r/FVMNYOIYMA7YBP?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,2026-05-14T07:01:00Z,https://www.producthunt.com/products/spellar/launches/spellar-3-0-5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+mon_scraper+%28ID%3A+286411%29,"Productivity, Meetings, Artificial Intelligence","[REDACTED], [REDACTED], [REDACTED], [REDACTED]"
